iter	Accuracy	Logloss
0	0.833997344	0.684908193
1	0.8446215139	0.6775941496
2	0.8911022576	0.6700037443
3	0.9043824701	0.6608867816
4	0.9043824701	0.6550808412
5	0.9083665339	0.6455314648
6	0.9070385126	0.6376735247
7	0.9017264276	0.6299008523
8	0.9003984064	0.6239539562
9	0.8924302789	0.616747861
10	0.8950863214	0.6088320357
11	0.8990703851	0.6040878997
12	0.8937583001	0.5975310929
13	0.8964143426	0.5911511355
14	0.8990703851	0.5848554764
15	0.8950863214	0.5792783347
16	0.9003984064	0.5732493637
17	0.9003984064	0.5662141657
18	0.9003984064	0.5599730735
19	0.9003984064	0.5533311863
20	0.8977423639	0.5484181137
21	0.8964143426	0.5419939171
22	0.8990703851	0.5368323163
23	0.9003984064	0.5316983645
24	0.8990703851	0.5277956968
25	0.8964143426	0.5218957404
26	0.8950863214	0.5172710388
27	0.8964143426	0.5123769802
28	0.9003984064	0.507340736
29	0.9017264276	0.5011960554
30	0.9003984064	0.4963351391
31	0.9057104914	0.4915042997
32	0.9057104914	0.4866516792
33	0.9110225764	0.4816109835
34	0.9083665339	0.4776338099
35	0.9110225764	0.4721506926
36	0.9136786189	0.4677109702
37	0.9150066401	0.462489557
38	0.9150066401	0.4576867017
39	0.9163346614	0.4531985991
40	0.9150066401	0.4500372737
41	0.9176626826	0.445504838
42	0.9163346614	0.4424832462
43	0.9176626826	0.4388205544
44	0.9176626826	0.4356117928
45	0.9176626826	0.4313164758
46	0.9176626826	0.4285614706
47	0.9176626826	0.4257103154
48	0.9176626826	0.4224410451
49	0.9176626826	0.4183253479
50	0.9176626826	0.4159685413
51	0.9189907039	0.4129316981
52	0.9189907039	0.4104405735
53	0.9189907039	0.4067810054
54	0.9163346614	0.4037107222
55	0.9189907039	0.4016735479
56	0.9189907039	0.3982891876
57	0.9203187251	0.3957388765
58	0.9189907039	0.3932983859
59	0.9203187251	0.3901253614
60	0.9189907039	0.3872374979
61	0.9189907039	0.3846322585
62	0.9189907039	0.3818321062
63	0.9189907039	0.379366245
64	0.9189907039	0.3762848717
65	0.9203187251	0.3736928077
66	0.9203187251	0.3715498312
67	0.9229747676	0.3679315413
68	0.9216467463	0.3658393704
69	0.9216467463	0.3635428702
70	0.9216467463	0.3610604194
71	0.9243027888	0.3589473389
72	0.9229747676	0.356698833
73	0.9216467463	0.354239591
74	0.9203187251	0.3523658972
75	0.9216467463	0.3504523249
76	0.9229747676	0.3480917669
77	0.9229747676	0.3466332387
78	0.9243027888	0.3454147765
79	0.9243027888	0.3438299833
80	0.9243027888	0.3410017619
81	0.9229747676	0.3394969757
82	0.9229747676	0.3373202956
83	0.9243027888	0.3356242461
84	0.9229747676	0.3335871286
85	0.9243027888	0.3319966257
86	0.9243027888	0.3300797245
87	0.9243027888	0.3281243425
88	0.9243027888	0.3264048279
89	0.9243027888	0.3243052889
90	0.9256308101	0.322466956
91	0.9256308101	0.3204148834
92	0.9243027888	0.3188351328
93	0.9256308101	0.3170305508
94	0.9256308101	0.3155240859
95	0.9256308101	0.3133258332
96	0.9256308101	0.312156042
97	0.9256308101	0.3099923566
98	0.9256308101	0.3080631446
99	0.9256308101	0.3066431507
100	0.9269588313	0.3052174185
101	0.9269588313	0.3034230846
102	0.9269588313	0.3016923403
103	0.9269588313	0.2994696623
104	0.9282868526	0.2981208178
105	0.9296148738	0.2967252754
106	0.9296148738	0.2953759025
107	0.9296148738	0.2942244247
108	0.9296148738	0.2928163271
109	0.9296148738	0.2916538131
110	0.9296148738	0.2905764158
111	0.9296148738	0.2893372742
112	0.9296148738	0.2877702533
113	0.9296148738	0.2866065091
114	0.9309428951	0.2853485127
115	0.9309428951	0.2841165806
116	0.9322709163	0.2826677232
117	0.9309428951	0.2817436302
118	0.9322709163	0.2807484745
119	0.9309428951	0.2796305204
120	0.9309428951	0.2784352313
121	0.9309428951	0.2766615213
122	0.9309428951	0.2752409112
123	0.9309428951	0.2740397787
124	0.9309428951	0.2733284488
125	0.9322709163	0.2723657623
126	0.9322709163	0.2714541066
127	0.9322709163	0.270523289
128	0.9322709163	0.2688215957
129	0.9322709163	0.2678881815
130	0.9335989376	0.2666490312
131	0.9335989376	0.265561562
132	0.9335989376	0.2646678905
133	0.9335989376	0.2637578365
134	0.9335989376	0.2628563041
135	0.9335989376	0.2617726201
136	0.9335989376	0.2608810365
137	0.9335989376	0.2599583074
138	0.9335989376	0.2587698185
139	0.9335989376	0.2579804744
140	0.9335989376	0.2574451875
141	0.9335989376	0.2568215847
142	0.9335989376	0.2560278996
143	0.9349269588	0.2548859188
144	0.9362549801	0.253739136
145	0.9349269588	0.2529564591
146	0.9362549801	0.2520063042
147	0.9349269588	0.2512506973
148	0.9349269588	0.2504635676
149	0.9349269588	0.2493954057
150	0.9349269588	0.2490188861
151	0.9349269588	0.2480490632
152	0.9349269588	0.2472269594
153	0.9349269588	0.2463175668
154	0.9375830013	0.2453917345
155	0.9375830013	0.2445561214
156	0.9375830013	0.2436730042
157	0.9362549801	0.2426076174
158	0.9375830013	0.2413164153
159	0.9375830013	0.2404257981
160	0.9389110226	0.2395382409
161	0.9389110226	0.2387124782
162	0.9389110226	0.2380191618
163	0.9389110226	0.2371808433
164	0.9389110226	0.2364459887
165	0.9389110226	0.2359714274
166	0.9389110226	0.2353367266
167	0.9402390438	0.2345837895
168	0.9389110226	0.2336881575
169	0.9402390438	0.2325062733
170	0.9402390438	0.2318438822
171	0.9389110226	0.2311480985
172	0.9402390438	0.2301414362
173	0.9402390438	0.2294354554
174	0.9402390438	0.2288943602
175	0.9402390438	0.2284111232
176	0.9402390438	0.2279246012
177	0.9389110226	0.2271005235
178	0.9375830013	0.2263041988
179	0.9375830013	0.2255970407
180	0.9375830013	0.225197098
181	0.9375830013	0.2246461282
182	0.9375830013	0.2240789684
183	0.9375830013	0.2232455126
184	0.9375830013	0.2227647133
185	0.9375830013	0.2222106757
186	0.9389110226	0.2214946037
187	0.9389110226	0.2208594948
188	0.9375830013	0.2202123049
189	0.9375830013	0.2193687371
190	0.9389110226	0.218827932
191	0.9389110226	0.2181544289
192	0.9389110226	0.2177102288
193	0.9389110226	0.2170427196
194	0.9402390438	0.2165025794
195	0.9402390438	0.2156898408
196	0.9389110226	0.2152158713
197	0.9389110226	0.2148514649
198	0.9389110226	0.2142841168
199	0.9389110226	0.2137452275
200	0.9402390438	0.2131981922
201	0.9402390438	0.212584228
202	0.9402390438	0.2119749905
203	0.9402390438	0.2116461058
204	0.9402390438	0.2111893954
205	0.9402390438	0.2105466805
206	0.9402390438	0.21003293
207	0.9402390438	0.2095350171
208	0.9402390438	0.208987009
209	0.9402390438	0.2083446876
210	0.9402390438	0.2077259792
211	0.9402390438	0.2071200192
212	0.9402390438	0.2067666272
213	0.9402390438	0.2064689189
214	0.9415670651	0.2060586129
215	0.9402390438	0.2055636594
216	0.9402390438	0.2051822382
217	0.9415670651	0.2046252669
218	0.9402390438	0.2040819133
219	0.9415670651	0.2037302705
220	0.9402390438	0.2032837366
221	0.9415670651	0.2027372407
222	0.9428950863	0.202126902
223	0.9415670651	0.201760648
224	0.9428950863	0.2012374226
225	0.9428950863	0.2009299809
226	0.9428950863	0.200346828
227	0.9428950863	0.1998333718
228	0.9428950863	0.1993582028
229	0.9428950863	0.1988289619
230	0.9415670651	0.1983387028
231	0.9415670651	0.1980950143
232	0.9428950863	0.197749937
233	0.9428950863	0.1974132936
234	0.9428950863	0.1969263417
235	0.9428950863	0.1963218679
236	0.9428950863	0.1957992716
237	0.9428950863	0.1952190673
238	0.9428950863	0.1947638508
239	0.9428950863	0.1943832884
240	0.9442231076	0.1940201708
241	0.9442231076	0.1937988579
242	0.9455511288	0.1934225135
243	0.9442231076	0.1928289764
244	0.9455511288	0.192280079
245	0.9455511288	0.191870206
246	0.9442231076	0.1913673795
247	0.9455511288	0.1910295247
248	0.9455511288	0.1905124999
249	0.9455511288	0.1902576404
250	0.9455511288	0.189861298
251	0.9468791501	0.189408189
252	0.9468791501	0.1891457886
253	0.9482071713	0.1887983815
254	0.9495351926	0.1882992608
255	0.9482071713	0.1878340728
256	0.9482071713	0.1873908778
257	0.9482071713	0.1869323379
258	0.9495351926	0.1866681687
259	0.9495351926	0.1864091113
260	0.9495351926	0.1859028432
261	0.9495351926	0.1854362274
262	0.9495351926	0.1848763156
263	0.9495351926	0.1843772343
264	0.9495351926	0.1839253652
265	0.9495351926	0.1835813564
266	0.9508632138	0.1829326224
267	0.9508632138	0.1825028033
268	0.9508632138	0.1822244028
269	0.9508632138	0.1818968317
270	0.9521912351	0.1814204495
271	0.9508632138	0.1810888805
272	0.9521912351	0.1807338311
273	0.9521912351	0.1804453172
274	0.9521912351	0.1801237118
275	0.9508632138	0.1797234875
276	0.9508632138	0.1793098724
277	0.9508632138	0.1790662823
278	0.9508632138	0.1786643282
279	0.9508632138	0.178244718
280	0.9508632138	0.1779490532
281	0.9508632138	0.1776397029
282	0.9508632138	0.1772689625
283	0.9508632138	0.1768872854
284	0.9508632138	0.1765899013
285	0.9508632138	0.1763402503
286	0.9508632138	0.1761034106
287	0.9508632138	0.1756991448
288	0.9508632138	0.1755412419
289	0.9508632138	0.1753185144
290	0.9521912351	0.1751069896
291	0.9535192563	0.1747836467
292	0.9535192563	0.1745677942
293	0.9521912351	0.1743080481
294	0.9521912351	0.1739388216
295	0.9535192563	0.1734032259
296	0.9521912351	0.1732217365
297	0.9535192563	0.1730150629
298	0.9535192563	0.1727148053
299	0.9535192563	0.1724685072
300	0.9535192563	0.172221156
301	0.9548472776	0.1719812426
302	0.9548472776	0.1717839682
303	0.9548472776	0.1715443503
304	0.9535192563	0.1712777978
305	0.9535192563	0.1707707127
306	0.9548472776	0.1704352281
307	0.9561752988	0.1700767153
308	0.9561752988	0.1697931071
309	0.9548472776	0.1694844231
310	0.9548472776	0.1691581694
311	0.9548472776	0.1688538813
312	0.9561752988	0.1684194768
313	0.9561752988	0.168015599
314	0.9561752988	0.1675489481
315	0.9548472776	0.167227068
316	0.9561752988	0.1668229666
317	0.9561752988	0.1664177298
318	0.9561752988	0.1662117009
319	0.9561752988	0.1658688308
320	0.9561752988	0.1657549507
321	0.9561752988	0.1654205145
322	0.9561752988	0.1650915353
