iter	Passed	Remaining
0	0	803
1	1	789
2	2	763
3	3	756
4	3	745
5	4	743
6	5	732
7	5	733
8	6	726
9	8	853
10	9	847
11	10	843
12	11	835
13	11	825
14	12	815
15	13	806
16	13	799
17	14	793
18	15	791
19	16	791
20	16	787
21	17	782
22	18	776
23	19	772
24	19	766
25	20	761
26	20	756
27	21	752
28	22	747
29	23	750
30	23	748
31	24	747
32	25	744
33	26	741
34	26	739
35	27	737
36	28	734
37	28	731
38	29	728
39	30	728
40	31	727
41	31	725
42	32	722
43	33	720
44	33	720
45	34	719
46	35	717
47	36	716
48	36	714
49	37	715
50	38	721
51	39	727
52	40	727
53	41	727
54	42	726
55	43	725
56	45	746
57	45	744
58	46	742
59	47	744
60	48	753
61	50	759
62	51	763
63	52	766
64	53	765
65	53	764
66	54	762
67	55	759
68	56	757
69	56	756
70	57	754
71	58	751
72	59	750
73	59	748
74	60	746
75	61	745
76	61	743
77	62	741
78	63	739
79	64	737
80	64	736
81	65	735
82	66	733
83	67	732
84	67	730
85	68	729
86	69	727
87	70	726
88	70	725
89	71	723
90	72	721
91	73	721
92	73	720
93	74	718
94	75	717
95	76	716
96	76	715
97	77	713
98	78	712
99	79	711
100	79	710
101	81	715
102	82	714
103	82	713
104	83	712
105	84	711
106	85	714
107	86	717
108	88	723
109	89	722
110	90	720
111	90	719
112	91	719
113	92	718
114	93	717
115	94	717
116	95	718
117	98	734
118	100	742
119	101	742
120	102	741
121	102	740
122	103	739
123	104	738
124	105	737
125	106	736
126	106	735
127	107	734
128	108	733
129	109	731
130	110	732
131	111	732
132	112	734
133	113	733
134	114	732
135	115	733
136	117	739
137	118	740
138	119	739
139	120	738
140	121	737
141	121	737
142	122	736
143	124	738
144	125	737
145	125	735
146	126	734
147	127	733
148	128	735
149	129	734
150	130	733
151	131	731
152	131	730
153	132	728
154	133	728
155	134	726
156	135	725
157	136	726
158	137	725
159	137	724
160	138	722
161	139	721
162	140	719
163	140	718
164	141	717
165	142	716
166	143	714
167	144	714
168	144	712
169	145	711
170	146	710
171	147	709
172	148	707
173	148	706
174	149	705
175	150	704
176	151	703
177	151	701
178	152	700
179	153	700
180	154	699
181	155	698
182	156	697
183	156	696
184	157	694
185	158	693
186	159	692
187	160	691
188	160	690
189	161	689
190	162	687
191	163	687
192	163	685
193	164	684
194	165	683
195	166	682
196	167	681
197	167	679
198	168	678
199	169	677
200	170	676
201	170	674
202	171	673
203	172	672
204	173	671
205	173	670
206	174	669
207	175	668
208	176	666
209	177	665
210	177	664
211	178	663
212	179	662
213	180	661
214	180	660
215	181	659
216	182	658
217	183	657
218	184	656
219	184	655
220	185	654
221	186	652
