iter	Accuracy	Logloss
0	0.8821138211	0.67227872
1	0.906504065	0.6471472467
2	0.906504065	0.6227509959
3	0.8617886179	0.6032118936
4	0.8577235772	0.585088154
5	0.8617886179	0.565643701
6	0.9268292683	0.5558940094
7	0.8617886179	0.5451171842
8	0.9024390244	0.5348571699
9	0.9268292683	0.5152342766
10	0.9390243902	0.496432015
11	0.9390243902	0.4856477717
12	0.9471544715	0.4703787257
13	0.9349593496	0.4660066628
14	0.9390243902	0.454112997
15	0.9512195122	0.4426097174
16	0.9471544715	0.4345506331
17	0.9430894309	0.4265776876
18	0.9471544715	0.4211760276
19	0.9471544715	0.4133313616
20	0.9471544715	0.4066661185
21	0.9430894309	0.3965168337
22	0.9390243902	0.3922418786
23	0.9471544715	0.3815940926
24	0.9471544715	0.3757062455
25	0.9430894309	0.3684114659
26	0.9430894309	0.3613200944
27	0.9390243902	0.355361076
28	0.9430894309	0.3500644234
29	0.9430894309	0.3419039876
30	0.9471544715	0.3337089043
31	0.9349593496	0.3286049445
32	0.9430894309	0.3251509352
33	0.9430894309	0.3216038889
34	0.9430894309	0.3160781926
35	0.9552845528	0.3086720419
36	0.9552845528	0.300940138
37	0.9552845528	0.2961200282
38	0.9593495935	0.2924045666
39	0.9593495935	0.2878051724
40	0.9593495935	0.2851110531
41	0.9593495935	0.2828214953
42	0.9593495935	0.278466757
43	0.9593495935	0.2727739323
44	0.9593495935	0.2693434418
45	0.9593495935	0.2652137349
46	0.9593495935	0.262319177
47	0.9593495935	0.2600680566
48	0.9593495935	0.2557970081
49	0.9552845528	0.2509556541
50	0.9593495935	0.2481362079
51	0.9593495935	0.2454586104
52	0.9593495935	0.2441548197
53	0.9593495935	0.2403375362
54	0.9593495935	0.2374803642
55	0.9593495935	0.2340543078
56	0.9634146341	0.2320678082
57	0.9552845528	0.2285738096
58	0.9552845528	0.2266324584
59	0.9593495935	0.2231345268
60	0.9593495935	0.2211168366
61	0.9593495935	0.2186972672
62	0.9593495935	0.2159864695
63	0.9552845528	0.2124268899
64	0.9593495935	0.2092595964
65	0.9593495935	0.2069296884
66	0.9593495935	0.2051967694
67	0.9634146341	0.2030412703
68	0.9634146341	0.2007445572
69	0.9634146341	0.197802502
70	0.9634146341	0.1949831638
71	0.9634146341	0.1934041532
72	0.9634146341	0.1921338066
73	0.9634146341	0.1906748767
74	0.9634146341	0.1885575629
75	0.9634146341	0.1860289981
76	0.9634146341	0.1851381572
77	0.9634146341	0.1837968293
78	0.9674796748	0.1817446038
79	0.9634146341	0.1803397183
80	0.9674796748	0.1785064027
81	0.9674796748	0.176641498
82	0.9674796748	0.1753446382
83	0.9674796748	0.1737500807
84	0.9674796748	0.1715085356
85	0.9674796748	0.169286011
86	0.9674796748	0.1682785056
87	0.9674796748	0.166816626
88	0.9674796748	0.165727734
89	0.9674796748	0.1633804962
90	0.9674796748	0.1624591462
91	0.9674796748	0.1607612401
92	0.9674796748	0.1591077154
93	0.9674796748	0.1581649294
94	0.9634146341	0.1568218255
95	0.9674796748	0.1560165946
96	0.9634146341	0.1547065575
97	0.9634146341	0.1540370919
98	0.9634146341	0.1523432622
99	0.9634146341	0.1508366752
100	0.9634146341	0.1499570967
101	0.9634146341	0.1480846822
102	0.9634146341	0.1465900325
103	0.9634146341	0.1452192657
104	0.9634146341	0.1444782697
105	0.9634146341	0.143962976
106	0.9634146341	0.1430786726
107	0.9634146341	0.1423943681
108	0.9634146341	0.1413877447
109	0.9634146341	0.1407805523
110	0.9634146341	0.1399860589
111	0.9634146341	0.1385338439
112	0.9634146341	0.1374371409
113	0.9634146341	0.1369826745
114	0.9634146341	0.1362770446
115	0.9634146341	0.1354611144
116	0.9634146341	0.1347794243
117	0.9634146341	0.1345328878
118	0.9634146341	0.1337980413
119	0.9634146341	0.132591583
120	0.9674796748	0.1320418068
121	0.9674796748	0.1313779194
122	0.9674796748	0.1299553867
123	0.9674796748	0.1292710463
124	0.9674796748	0.1282421243
125	0.9674796748	0.127339338
126	0.9674796748	0.1268024108
127	0.9674796748	0.1259645347
128	0.9674796748	0.1252899116
129	0.9674796748	0.1247062649
130	0.9674796748	0.1238651503
131	0.9674796748	0.1233213986
132	0.9674796748	0.1227536392
133	0.9674796748	0.1221493098
134	0.9674796748	0.1211300131
135	0.9674796748	0.1204744827
136	0.9674796748	0.1200389489
137	0.9674796748	0.1196803859
138	0.9674796748	0.1191544405
139	0.9674796748	0.1181993998
140	0.9674796748	0.1169732561
141	0.9674796748	0.1164479218
142	0.9674796748	0.1159620323
143	0.9674796748	0.1151887817
144	0.9674796748	0.1145848335
145	0.9674796748	0.1140668948
146	0.9674796748	0.1138703194
147	0.9674796748	0.1130071188
148	0.9674796748	0.112639578
149	0.9674796748	0.1120015316
150	0.9674796748	0.1113030475
151	0.9674796748	0.1107945359
152	0.9674796748	0.1100487434
153	0.9674796748	0.1093333923
154	0.9674796748	0.1088917044
155	0.9674796748	0.1082838189
156	0.9715447154	0.1074972702
157	0.9715447154	0.1071199304
158	0.9715447154	0.1064156695
159	0.9715447154	0.1058394362
160	0.9715447154	0.1051723
161	0.9715447154	0.104604813
162	0.9715447154	0.1043794713
163	0.9715447154	0.1038445518
164	0.9715447154	0.1033534817
165	0.9715447154	0.1028577894
166	0.9715447154	0.1022666306
167	0.9715447154	0.1020427245
168	0.9715447154	0.1013453265
169	0.9715447154	0.1009434362
170	0.9715447154	0.100301477
171	0.9715447154	0.09969587717
172	0.9715447154	0.09926219699
173	0.9715447154	0.0986481272
174	0.9715447154	0.09823766086
175	0.9715447154	0.09804518092
176	0.9715447154	0.09745261694
177	0.9715447154	0.09711735175
178	0.9756097561	0.09669810206
179	0.9715447154	0.09610877853
180	0.9715447154	0.09574830488
181	0.9715447154	0.0953262697
182	0.9715447154	0.09504005652
183	0.9756097561	0.0944771382
184	0.9756097561	0.09408842795
185	0.9756097561	0.09350888219
186	0.9756097561	0.09274807168
187	0.9756097561	0.09200750221
188	0.9756097561	0.09171748914
189	0.9756097561	0.09153726591
190	0.9756097561	0.09102779091
191	0.9756097561	0.09028328575
192	0.9756097561	0.09006973027
193	0.9756097561	0.08968694868
194	0.9756097561	0.08928251222
195	0.9756097561	0.08880875979
196	0.9756097561	0.08828990927
197	0.9756097561	0.08812083903
198	0.9756097561	0.08778331136
199	0.9756097561	0.08728911996
