iter	Passed	Remaining
0	0	106
1	0	89
2	1	84
3	1	78
4	2	78
5	2	79
6	2	81
7	3	81
8	3	81
9	4	81
10	4	82
11	5	82
12	5	82
13	6	83
14	6	84
15	7	84
16	7	85
17	8	85
18	8	85
19	9	85
20	9	84
21	10	85
22	10	84
23	11	83
24	12	84
25	12	84
26	13	83
27	13	83
28	13	82
29	14	81
30	14	80
31	15	79
32	15	78
33	15	77
34	16	76
35	16	76
36	17	75
37	17	74
38	17	74
39	19	76
40	19	75
41	19	74
42	20	73
43	20	72
44	20	72
45	21	71
46	21	70
47	22	70
48	22	69
49	23	69
50	23	68
51	23	67
52	24	67
53	24	66
54	24	65
55	25	65
56	25	64
57	26	63
58	26	63
59	26	62
60	28	64
61	28	63
62	28	62
63	29	62
64	29	61
65	30	60
66	30	60
67	30	59
68	31	59
69	31	58
70	31	57
71	32	57
72	32	56
73	32	56
74	33	55
75	33	55
76	34	54
77	34	53
78	34	53
79	35	52
80	35	52
81	36	51
82	36	51
83	36	50
84	37	50
85	37	49
86	37	49
87	38	48
88	38	48
89	39	47
90	39	47
91	39	46
92	40	46
93	40	45
94	41	45
95	41	45
96	42	44
97	42	44
98	42	43
99	43	43
100	43	42
101	44	42
102	44	42
103	45	41
104	45	41
105	45	40
106	46	40
107	46	39
108	46	39
109	47	38
110	47	38
111	48	37
112	48	37
113	48	36
114	49	36
115	50	36
116	50	36
117	51	35
118	51	35
119	52	34
120	52	34
121	52	33
122	53	33
123	53	32
124	54	32
125	54	31
126	54	31
127	55	30
128	55	30
129	55	30
130	56	29
131	56	29
132	57	28
133	57	28
134	58	27
135	58	27
136	59	27
137	59	26
138	59	26
139	60	25
140	60	25
141	60	24
142	61	24
143	61	24
144	62	23
145	62	23
146	63	22
147	63	22
148	63	21
149	64	21
150	64	20
151	65	20
152	65	20
153	65	19
154	66	19
155	66	18
156	67	18
157	67	17
158	67	17
159	68	17
160	68	16
161	69	16
162	69	15
163	70	15
164	70	14
165	71	14
166	71	14
167	71	13
168	73	13
169	74	13
170	74	12
171	75	12
172	75	11
173	75	11
174	76	10
175	77	10
176	77	10
177	82	10
178	83	9
179	83	9
180	84	8
181	84	8
182	85	7
183	85	7
184	85	6
185	86	6
186	86	6
187	87	5
188	87	5
189	87	4
190	88	4
191	88	3
192	89	3
193	90	2
194	90	2
195	91	1
196	91	1
197	92	0
198	92	0
199	92	0
